Song Title,Artist,Song Code,Quadrant,Avg_Valence,Avg_Arousal,SD_Valence,SD_Arousal
Dancing Queen,ABBA,A039,Q1,3.6,3.2,0.5,0.8
Do you wanna dance,Beach Boys,A042,Q1,3.2,2.2,0.4,0.4
Beautiful Day,Mary J. Blige,A043,Q1,2,1.8,0,0.8
Misery Machine,Marilyn Manson,A044,Q2,-2.8,3.2,0.8,0.4
Hurt,Johnny Cash,A045,Q3,-2,-2.2,0.7,0.8
La Isla Bonita,Maddona,A047,Q1,3.2,2.6,0.4,0.5
Everybody Hurts,REM,A048,Q3,-2.4,-1.2,0.5,0.4
Highway to Hell,AC/DC,A049,Q2,-3,3.4,0.6,0.5
"Whenever, wherever",Shakira,A050,Q1,3.2,3,0.8,1
Can't Stand You,Slayer,A051,Q2,-3.3,3.8,0.5,0.5
Hell's Bells,AC/DC,A052,Q2,-2.5,2.5,0.6,0.6
Strawberry Swing,Coldplay,A053,Q1,1.8,1.3,0.5,0.5
Born in the USA,Bruce Springsteen,A055,Q2,-1.8,2,0.5,0
Scarstruck,The Slayer,A056,Q2,-3.8,3.8,0.5,0.5
Over the Rainbow,Frank Sinatra,A058,Q4,2.5,-2.3,1,0.5
Wise up,Aimee Mann,A060,Q3,-2.3,-1.3,1,0.5
Mad World,Gary Jules,A061,Q3,-2,-2.3,0,1
Aces High,Iron Maiden,A062,Q2,-2.8,3.3,0.5,0.5
Albedo 039,Vangelis,A063,Q4,1.5,-2.3,0.6,1
All Night Long,Lionel Ritchie,A064,Q1,3.3,2.8,1,0.5
The Journey of the Angels,Enya,A066,Q4,1.5,-3.8,0.6,0.5
The Lady Of Shalott,Loreena Mckennitt,A067,Q4,2.5,-2,0.6,0
Ashes,Five Finger Deadth Punch,A068,Q2,-4,3.8,0,0.5
Beautiful,Christina Aguilera,A069,Q1,2.3,3.5,0.5,0.6
Brick,Ben Folds Five,A071,Q3,-1.8,-1.6,0.4,0.5
Broken Strings,James Morrison,A073,Q3,-1.8,-1.2,0.4,0.4
Bullet with your name,Scars of life,A074,Q2,-3.8,3.4,0.4,0.5
Burning Heart,Survivor,A075,Q1,2.8,2.6,1.1,0.5
Celebration,Kool and the Gang,A077,Q1,3,3,0,0.7
China Roses,Enya,A078,Q4,2,-2,0.7,0.7
Coming Home,Avenged Sevenfold,A079,Q2,-2.4,3.4,0.9,0.5
"Congratulations, I hate you",Alesana,A080,Q2,-3.4,3.2,0.9,1.1
Creep,Radiohead,A081,Q3,-1.8,-2,1,0.8
Cryin' Like a Bitch,Godsmack,A082,Q2,-3.5,3.3,0.6,0.5
Crying,Don McLean,A083,Q3,-2.3,-1.8,0.5,0.5
Dance with my Father,Luthor Vandross,A084,Q3,-1.5,-1,1,0
Dying in the Sun,Cranberries,A085,Q3,-2,-1.5,0.8,0.6
Everybody Dance Now,CC Music Factory,A086,Q1,3,2.8,0.8,0.5
Father Time,Lloyd Banks,A087,Q2,-1.8,2,1,0.8
Fly me to the Moon,Diana Krall,A088,Q4,2.3,-1.3,1,0.5
Footloose,Kenny Loggins,A089,Q1,2.8,3,0.5,0
Fuck the World,Tupac Shakur,A090,Q2,-2.5,2.3,0.6,0.5
Fuck you,Headstones,A091,Q2,-2.3,2.3,0.5,0.5
Fun Fun Fun,Beach Boys,A092,Q1,3,2.5,0,0.6
Gold Digger,Kanye West,A093,Q1,1.3,2.8,0.5,0.5
Good Times,Chic,A094,Q1,3.3,3,0.5,0.8
Happy,Pharrel Williams,A095,Q1,3.8,3.8,0.5,0.5
Hello,Evanescence,A096,Q3,-2.3,-1.3,0.5,0.5
Home,Michael Bublé,A097,Q3,-2,-1.8,0,0.5
How could Anyone,Shaina Noll,A098,Q4,1.8,-2.3,0.5,0.5
Hurt,Christina Aguilera,A099,Q2,-2.3,2.5,1,0.6
I Feel Good,James Brown,A100,Q1,3,3.3,0.8,1
I Feel Love,Donna Summer,A101,Q1,3.8,2.3,0.5,0.5
I Wanna Dance with Somebody,Whitney Houston,A102,Q1,3,3,0,0
Idiot,Lisa Presley,A103,Q2,-2.3,2.3,0.5,0.5
It's Raining Men,Geri Halliwell,A104,Q1,3.5,3.8,0.6,0.5
Kiss,Prince,A105,Q1,2.5,2.8,0.6,0.5
Knife,Rockwell,A106,Q3,-2.3,-2,0.5,0
Let's Dance,David Bowie,A107,Q1,2,2.8,0,0.5
Love is where you are,Diana Krall,A109,Q4,2.3,-2.5,1,0.6
Lovely Linda,Paul McCartney,A110,Q4,2.5,-1.5,0.6,0.6
Wonderful Christmas Time,Paul McCartney,A161,Q1,2.3,1.8,0.5,0.5
Wonderful,Aretha Franklin,A162,Q1,2,1.3,0,0.5
We are the World,Michael Jackson,A164,Q1,3,1.5,0,0.6
Water Song,Amata,A165,Q4,2.3,-2.8,0.5,0.5
Wake me up before you go go,Glee,A166,Q1,3.3,3.5,0.5,0.6
Twistin' the Night Away,Sam Cooke,A167,Q1,3,3,0,0
The Voice of Enigma,Enigma,A168,Q4,3,-3,0.8,0.8
The Friendship Song,Carbon Leaf,A169,Q1,2,1.5,0,0.6
Say Something,A Great Big World,A171,Q3,-1.8,-2.5,0.5,1
Rockstar,Nickleback,A172,Q2,-2.3,2,0.5,0
Respect,Aretha Franklin,A173,Q1,3,3,0,0
Renegade,Eminem and Jay-Z,A174,Q2,-2.5,2,0.6,0
Prision Song,System of a Down,A176,Q2,-3,3.3,0.8,0.5
Platypus,Green Day,A177,Q2,-3.5,3.5,0.6,1
Peace Train,Cat Stevens,A178,Q4,2,-1.5,0.8,0.6
One People One Land,Monica Brown,A179,Q4,2.3,-1.3,0.5,0.5
Nature Song,Wayne Mason,A180,Q1,2.3,1.8,0.5,0.5
Lose Yourself,Eminem,A182,Q2,-3.3,3.3,0.5,0.5
Killing in the Name,Rage Against The Machine,A183,Q2,-3.5,3.3,0.6,0.5
It's in the Rain,Enya,A184,Q4,1.8,-2.3,0.5,0.5
I am the Earth,Glyn Lehmann,A186,Q4,2.8,-2.3,1,0.5
He's The Greatest Dancer,Sister Sledge,A187,Q1,2.8,2.3,0.5,0.5
Gloomy Sunday,Billie Holliday,A188,Q3,-1.5,-1.3,1,0.5
Gift of a friend,Demi Lovato,A189,Q1,2,1.8,0.8,0.5
Friends are Quiet Angels,Gloria Sklerov and Barbara Rothstein,A190,Q4,2.5,-1.8,0.6,1
For the Love of a Daughter,Demi Lovato,A191,Q3,-1.3,-1.5,0.5,1
Family is a Family,Skip West,A192,Q4,2.3,-1.5,0.5,0.6
Eye of the Tiger,Survivor,A193,Q2,-1.5,3,1,0
Dead Bodies Everywhere,Korn,A194,Q2,-2.3,3,0.5,0
Dancing with another man,Bruno Mars,A195,Q3,-1.5,-1.3,0.6,0.5
Dancing In The Street,Martha Reeves And The Vandellas,A196,Q1,2.3,2,0.5,0
Christmas Tree,Lady Ga Ga,A197,Q1,2.3,2.8,0.5,0.5
But Beautiful,Billie Holiday,A198,Q4,2.3,-2.3,0.5,0.5
Adam's Song,Blink 182,A200,Q2,-1.5,1.5,0.6,0.6
